"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2012","8.1/10","144 min","Barfi!","Comedies, Dramas, International Movies","","November 1, 2018","Anurag Basu","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla, Ashish Vidyarthi, Rupa Ganguly, Bholaraj Sapkota, Jishu Sengupta, Haradhan Bannerjee","India",NA
"2010","4.8/10","121 min","Chance Pe Dance","Comedies, Dramas, International Movies","","November 1, 2018","Ken Ghosh","Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan","India",NA
"2018","5.3/10","91 min","Christmas With A View","International Movies, Romantic Movies","","November 1, 2018","Justin G. Dyck","Scott Cavalheiro, Kaitlyn Leeb, Vivica A. Fox, Patrick Duffy, Jess Walton, Mark Ghanimé","Canada",NA
"2006","6.7/10","158 min","Chup Chup Ke","Comedies, Dramas, International Movies","","November 1, 2018","Priyadarshan, Kookie V. Gulati","Shahid Kapoor, Kareena Kapoor, Om Puri, Neha Dhupia, Sunil Shetty, Paresh Rawal, Rajpal Yadav, Shakti Kapoor","India",NA
"2015",NA,"2 Seasons","Creators","Kids' TV, Spanish-Language TV Shows","",NA,NA,"Fabio Aste, Héctor Segura, Sebastian Rosas","Argentina","November 1, 2018"
"2007","5.1/10","157 min","Dhan Dhana Dhan Goal","Dramas, International Movies, Music & Musicals","","November 1, 2018","Vivek Agnihotri","John Abraham, Bipasha Basu, Arshad Warsi, Shernaz Patel, Boman Irani, Dibyendu Bhattacharya, Gilbert Montoya, Dalip Tahil, Rajendranath Zutshi","United Kingdom, India",NA
"2009","5.4/10","124 min","Dhoondte Reh Jaoge","Comedies, International Movies, Music & Musicals","","November 1, 2018","Umesh Shukla","Paresh Rawal, Kunal Khemu, Sonu Sood, Soha Ali Khan, Johnny Lever, Dilip Joshi, Asrani, Malay Chakrabarty, Razak Khan, Hrishitaa Bhatt","India",NA
"2010","7.5/10","106 min","Do Dooni Chaar","Comedies, International Movies","","November 1, 2018","Habib Faisal","Rishi Kapoor, Neetu Singh, Aditi Vasudev, Archit Krishna, Akhilendra Mishra, Natasha Rastogi, Manoj Bakshi, Supriya Shukla","India",NA
"2018","4.4/10","92 min","Edge of Fear","Independent Movies, Thrillers","","November 1, 2018","Bobby Roth","Shen Lin, Robert Patrick, Zhu Zhu, Jodi Lyn O'Keefe, Robert Knepper, Amaury Nolasco, Rockmond Dunbar, Andy Mackenzie, Robert Crayton, John Edward Lee, Trent Brya","United States",NA
"2017",NA,"80 min","Edmilson Filho: Notas, Comedy about Relationships","Stand-Up Comedy","","November 1, 2018","Halder Gomes","Edmilson Filho","Brazil",NA
"2018","5.0/10","3 Seasons","Follow This","Docuseries","",NA,NA,"John Stanton, Scaachi Koul, Azeen Ghorayshi, Bim Adewunmi, Juliane Loffler, Charlie Warzel","United States","November 1, 2018"
"2015","6.0/10","126 min","Gaddar: the Traitor","Dramas, International Movies, Thrillers","","November 1, 2018","Amitoj Mann","Harbhajan Mann, Manpneet Grewal, Ashish Duggal, Girja Shankar, Shavinder Mahal, Rupinder Roopi, Anita Meet, Tarsem Paul, Balkaran Wadding, Bobby Sandhu","India",NA
"2013","6.0/10","129 min","Ghanchakkar","Comedies, International Movies, Thrillers","","November 1, 2018","Raj Kumar Gupta","Emraan Hashmi, Vidya Balan, Rajesh Sharma, Namit Das, Parvin Dabas","India",NA
"2012","6.9/10","133 min","Grandmaster","International Movies, Thrillers","","November 1, 2018","B. Unnikrishnan","Mithra Kurian, Anoop Menon, Mohanlal, Narein, Priyamani, Roma, Siddique, Jagathy Sreekumar","India",NA
"2007","4.4/10","109 min","Hattrick","Comedies, Dramas, International Movies","","November 1, 2018","Milan Luthria","Nana Patekar, Paresh Rawal, Kunal Kapoor, Rimi Sen, Danny Denzongpa, Prateeksha Lonkar, Gautam Bhimani, Harsha Bhogle","India",NA
"2012","5.0/10","143 min","Heroine","Dramas, International Movies","","November 1, 2018","Madhur Bhandarkar","Kareena Kapoor, Arjun Rampal, Randeep Hooda, Divya Dutta, Govind Namdeo, Sanjay Suri, Mugdha Godse, Shahana Goswami, Ranvir Shorey, Lillete Dubey","India",NA
"2013","1.6/10","140 min","Himmatwala","Action & Adventure, Comedies, International Movies","","November 1, 2018","Sajid Khan","Ajay Devgn, Tamannaah Bhatia, Paresh Rawal, Zarina Wahab, Mahesh Manjrekar","India",NA
"2012","3.9/10","150 min","Husbands in Goa","Comedies, International Movies, Music & Musicals","","November 1, 2018","Saji Surendran","Jayasurya, Indrajith, Asif Ali, Lal, Bhama, Ramya Nambeeshan, Rima Kallingal, Praveena","India",NA
"2013","6.1/10","128 min","Jatts in Golmaal","Comedies, International Movies, Music & Musicals","","November 1, 2018","Ksshitij Chaudhary","Arya Babbar, Samiksha Singh, Gurpreet Guggi, Binnu Dhillon, Jaswinder Bhalla, B.N. Sharma, Veena Malik, Sardar Sohi","India",NA
"2013","7.7/10","120 min","Kai Po Che!","Dramas, International Movies, Sports Movies","","November 1, 2018","Abhishek Kapoor","Rajkummar Rao, Amit Sadh, Sushant Singh Rajput, Amrita Puri, Digvijay Deshmukh, Asif Basra, Manav Kaul, Ashish Kakkad","India",NA
"2012","6.8/10","154 min","Kalakalappu","Comedies, International Movies, Music & Musicals","","November 1, 2018","Sundar C.","Vimal, Anjali, Shiva, Oviya, Santhanam, John Vijay, M. Ilavarasu, Manobala","India",NA
"2006","7.6/10","45 min","Katt Williams: The Pimp Chronicles: Pt. 1","Stand-Up Comedy","","November 1, 2018","Gary Binkow","Katt Williams, Anthony Anderson","United States",NA
"2015","4.8/10","132 min","Katti Batti","Comedies, Dramas, International Movies","","November 1, 2018","Nikhil Advani","Imran Khan, Kangana Ranaut, Abhishek Saha, Mithila Palkar, Vivan Bhatena, Suhaas Ahuja, Nicole Faria, Adaar Malik","India",NA
"2007","7.5/10","126 min","Life in a ... Metro","Dramas, International Movies, Music & Musicals","","November 1, 2018","Anurag Basu","Dharmendra, Irrfan Khan, Konkona Sen Sharma, Kay Kay Menon, Shilpa Shetty, Shiney Ahuja, Sharman Joshi, Kangana Ranaut, Nafisa Ali, Manoj Pahwa","India",NA
"2013","7.2/10","95 min","Marc Maron: Thinky Pain","Stand-Up Comedy","","November 1, 2018","Lance Bangs","Marc Maron","United States",NA
"2008","7.8/10","135 min","Mumbai Meri Jaan","Dramas, International Movies","","November 1, 2018","Nishikant Kamat","Madhavan, Irrfan Khan, Soha Ali Khan, Paresh Rawal, Kay Kay Menon, Anand Goradia, Vijay Maurya, Vibhavari Deshpande, Santosh Juvekar, Kamlesh Sawant","India",NA
"2014","5.9/10","139 min","Mundeyan Ton Bachke Rahin","Comedies, International Movies, Music & Musicals","","November 1, 2018","Navinder Pal Singh","Roshan Prince, Jassi Gill, Simran Kaur Mundi, Bharti Singh, Anshu Sawhney, Hobby Dhaliwal, Sunita Dhir, Minto, Manoj Sabarwal, Sunny Gill","India",NA
"2011","7.1/10","131 min","No One Killed Jessica","Dramas, International Movies","","November 1, 2018","Raj Kumar Gupta","Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam, Rajesh Sharma, Mohammed Zeeshan Ayyub, Bubbles Sabharwal, Satyadeep Misra, Yogendra Tikku, Geeta Sudan","India",NA
"2008","7.6/10","118 min","Oye Lucky! Lucky Oye!","Comedies, Dramas, International Movies","","November 1, 2018","Dibakar Banerjee","Abhay Deol, Paresh Rawal, Neetu Chandra, Archana Puran Singh, Manu Rishi Chadha, Richa Chadda, Anurag Arora, Rajender Sethi, Manjot Singh, Chandan Anand","India",NA
"2010","8.2/10","129 min","Paan Singh Tomar","Action & Adventure, Dramas, International Movies","","November 1, 2018","Tigmanshu Dhulia","Irrfan Khan, Mahie Gill, Rajendra Gupta, Brijendra Kala, Jahangir Khan, Vipin Sharma, Zakir Hussain","India",NA
"2014","6.2/10","131 min","Raja Natwarlal","Dramas, International Movies, Thrillers","","November 1, 2018","Kunal Deshmukh","Emraan Hashmi, Humaima Malik, Paresh Rawal, Kay Kay Menon, Deepak Tijori, Prachi Shah, Mohammed Zeeshan Ayyub","India",NA
"2013","6.0/10","146 min","Satyagraha","Dramas, International Movies, Music & Musicals","","November 1, 2018","Prakash Jha","Kareena Kapoor, Amitabh Bachchan, Ajay Devgn, Arjun Rampal, Amrita Rao, Manoj Bajpayee, Vipin Sharma, Anjali Patil","India",NA
"2013","4.7/10","123 min","Settai","Comedies, International Movies, Music & Musicals","","November 1, 2018","R. Kannan","Arya, Anjali, Hansika Motwani, Santhanam, Premgi Amaren, Nasser","India",NA
"2014","6.0/10","141 min","Sigaram Thodu","Dramas, International Movies, Thrillers","","November 1, 2018","Gaurav Narayanan","Vikram Prabhu, Sathyaraj, Monal Gajjar, Sathish, Erode Mahesh, Gaurav Narayanan","India",NA
"2015","6.7/10","93 min","Sommore: The Reign Continues","Stand-Up Comedy","","November 1, 2018","Kevin Layne","Sommore","United States",NA
"2012",NA,"1 Season","The Great British Baking Show: The Beginnings","British TV Shows, Reality TV","","November 1, 2018",NA,"Paul Hollywood, Mary Berry, Mel Giedroyc, Sue Perkins",NA,NA
"2017","7.5/10","91 min","The Untold Tales of Armistead Maupin","Documentaries, LGBTQ Movies","","November 1, 2018","Jennifer M. Kroot","Armistead Maupin, Neil Gaiman, Laura Linney, Ian McKellen, Amy Tan, Margaret Cho, Jonathan Groff, Amanda Palmer","United States",NA
"2016","7.5/10","106 min","Vaya","Dramas, Independent Movies, International Movies","","November 1, 2018","Akin Omotoso","Mncedisi Shabangu, Sihle Xaba, Sibusiso Msimang, Zimkhitha Nyoka, Warren Masemola, Nomonde Mbusi, Azwile Chamane, Harriet Lenabe","South Africa",NA
"2008","6.8/10","131 min","Welcome to Sajjanpur","Comedies, Dramas, International Movies","","November 1, 2018","Shyam Benegal","Shreyas Talpade, Amrita Rao, Ravi Kishan, Ila Arun, Rajeshwari Sachdev, Divya Dutta, Yashpal Sharma, Ravi Jhankal, Lalit Mohan Tiwari","India",NA
"2014","3.4/10","95 min","Yeh Hai Bakrapur","Comedies, Dramas, Independent Movies","","November 1, 2018",NA,"Amit Sial, Yoshika Verma, Anshuman Jha, Asif Basra, Suruchi Aulakh","India",NA
"2011","3.8/10","104 min","Zokkomon","Children & Family Movies, Dramas","","November 1, 2018","Satyajit Bhatkal","Darsheel Safary, Anupam Kher, Manjari Fadnis, Tinnu Anand, Sheeba Chaddha, S.M. Zaheer, Aayam Mehta, Gargi Datar, Jai Vyas","India",NA
"2018","6.2/10","126 min","Gun City","Dramas, International Movies, Thrillers","","October 31, 2018","Dani de la Torre","Luis Tosar, Michelle Jenner, Vicente Romero, Manolo Solo, Paco Tous, Adriana Torrebejano, Pep Tosar, Jaime Lorente, Ernesto Alterio, Fernando Cayo","Spain, France",NA
"2015","7.4/10","118 min","Heneral Luna","Dramas, International Movies","","October 31, 2018","Jerrold Tarog","John Arcilla, Mon Confiado, Arron Villaflor, Joem Bascon, Archie Alemania, Art Acuna, Alex Medina, Nonie Buencamino, Lorenz Martinez, Jeffrey Quizon, Alvin Anson, Mylene Dizon, Bing Pimentel, Leo Martinez, Ketchup Eusebio, Ronnie Lazaro, Paulo Avelino","Philippines",NA
"2018","5.2/10","2 Seasons","Fate/EXTRA Last Encore","Anime Series, International TV Shows","",NA,NA,"Atsushi Abe, Sakura Tange, Kana Ueda, Hiroshi Kamiya, Noriko Shitaya, Kohsuke Toriumi, Urara Takano, Ai Nonaka, Kunihiko Yasui, Takahiro Mizushima","Japan","October 30, 2018"
"2006","6.3/10","94 min","Dragon Tiger Gate","Action & Adventure, International Movies","","October 27, 2018","Wilson Yip","Donnie Yen, Nicholas Tse, Shawn Yue, Dong Jie, Li Xiaoran, Yuen Wah, Chen Kuan Tai, Xing Yu, Vincent Sze, Tommy Yuen","Hong Kong, China",NA
"2018","5.4/10","100 min","Been So Long","Dramas, International Movies, Music & Musicals","","October 26, 2018","Tinge Krishnan","Michaela Coel, Arinzé Kene, George MacKay, Ashley Thomas, Joe Dempsie, Ronke Adekoluejo, Luke Norris, Mya Lewis",NA,NA
"2018","6.5/10","126 min","Dovlatov","Dramas, International Movies","","October 26, 2018","Aleksey German","Milan Maric, Danila Kozlovsky, Helena Sujecka, Artur Beschastny, Anton Shagin, Svetlana Khodchenkova, Elena Lyadova, Piotr Gasowski, Eva Gerr, Hanna Sleszynska","Russia, Poland, Serbia",NA
"2018","5.5/10","90 min","Jefe","Comedies, Dramas, International Movies","","October 26, 2018","Sergio Barrejón","Luis Callejo, Juana Acosta, Carlo D'Ursi, Josean Bengoetxea, Bárbara Santa-Cruz, Maica Barroso, Adam Jezierski, Sergio Quintana","Spain, Portugal",NA
"2018","4.8/10","87 min","Santo Cachón","Comedies, International Movies, Romantic Movies","","October 26, 2018",NA,NA,"Colombia",NA
"2018","7.5/10","97 min","Shirkers","Documentaries","","October 26, 2018","Sandi Tan",NA,"United States, United Kingdom",NA
"2018","5.0/10","1 Season","Terrorism Close Calls","Crime TV Shows, Docuseries, International TV Shows","","October 26, 2018",NA,NA,"United States, Czech Republic",NA
"2018","6.0/10","115 min","W/O Ram","Dramas, International Movies, Thrillers","","October 26, 2018","Vijay Yelakanti","Lakshmi Manchu, Aadarsh Balakrishna, Priyadarshi Pullikonda, Samrat Reddy, Shrikanth Iyyangar, Shrusti Dange","India",NA
"2009","7.0/10","1 Season","DreamWorks Spooky Stories","Kids' TV, TV Comedies","","October 25, 2018",NA,"Antonio Banderas, Hugh Laurie, Mike Myers, Reese Witherspoon, Seth Rogen, Kristen Schaal, Dean Edwards","United States",NA
"2017","7.2/10","2 Seasons","Great News","TV Comedies","",NA,NA,"Briga Heelan, Andrea Martin, Adam Campbell, John Michael Higgins, Horatio Sanz, Nicole Richie","United States","October 25, 2018"
"2018","6.9/10","93 min","Ronnie Coleman: The King","Documentaries","","October 25, 2018","Vlad Yudin","Ronnie Coleman","United States",NA
"2015",NA,"138 min","Baahubali: The Beginning (English Version)","Action & Adventure, Dramas, International Movies","","October 24, 2018","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",NA,NA
"2018","8.2/10","1 Season","Bodyguard","British TV Shows, Crime TV Shows, International TV Shows","","October 24, 2018",NA,"Richard Madden, Keeley Hawes, Gina McKee, Sophie Rundle, Vincent Franklin, Pippa Haywood, Paul Ready, Tom Brooke, Nicholas Gleaves, Stuart Bowman","United Kingdom",NA
"2018","7.7/10","74 min","ADAM SANDLER 100% FRESH","Stand-Up Comedy","","October 23, 2018","Steve Brill","Adam Sandler","United States",NA
"2018","7.6/10","1 Season","Here to Heart","International TV Shows, Romantic TV Shows, TV Dramas","","October 23, 2018",NA,"Janine Chun-Ning Chang, Hans Zhang","China",NA
"2018","4.6/10","102 min","Scorpion King 5: Book of Souls","Action & Adventure, Sci-Fi & Fantasy","","October 23, 2018","Don Michael Paul","Zach McGowan, Pearl Thusi, Nathan Jones, Peter Mensah, Katy Louise Saunders, Mayling Ng, Howard Charles, Inge Beckmann","United States",NA
"2017","7.1/10","3 Seasons","The Hollywood Masters","Stand-Up Comedy & Talk Shows","",NA,NA,NA,"United States","October 23, 2018"
"2018","6.0/10","104 min","How to Get Over a Breakup","Comedies, International Movies, Romantic Movies","","October 20, 2018","Joanna Lombardi, Bruno Ascenzo","Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín","Peru",NA
"2018","7.5/10","1 Season","Accidentally in Love","International TV Shows, Romantic TV Shows, TV Comedies","","October 19, 2018",NA,"Junchen Guo, Yi Ning Sun, Yi Qin Zhao, Mu Xuan Cheng, Li Ma, Mo Zhou","China",NA
"2017","6.4/10","1 Season","Ask the Doctor","Docuseries, International TV Shows, Science & Nature TV","","October 19, 2018",NA,"Shalin Naik, Renee Lim, Sandro Demaio","Australia",NA
"2018","6.5/10","1 Season","Best.Worst.Weekend.Ever.","Kids' TV, TV Comedies","","October 19, 2018",NA,"Sam Ashe Arnold, Cole Sand, Brianna Reed, Brittany Garms, Alison Becker, Larry Bates, Tiffany Espensen, Rachel Gage, Matt Battaglia, Affion Crockett","United States",NA
"2018","6.4/10","51 min","Club de Cuervos Presents: I, Potro","Movies","","October 19, 2018","Marcos Bucay","Joaquín Ferreira, Marcela Álvarez, Benjamín Alfonso, Emilia Claudeville, Mauricio Llera, Sol Gaschetto, Martín Seefeld, Martín Rocco, Gonzalo VIzán","Mexico, Argentina",NA
"2018","7.2/10","50 min","Derren Brown: Sacrifice","Movies","","October 19, 2018",NA,"Derren Brown",NA,NA
"2018","5.7/10","86 min","Gnome Alone","Children & Family Movies, Comedies","","October 19, 2018","Peter Lepeniotis","Becky G., Josh Peck, Tara Strong, Olivia Holt, David Koechner, Jeff Dunham, Patrick Stump, Nash Grier, Madison De La Garza, George Lopez","United Kingdom, Canada, United States, Cayman Islands",NA
"2018","6.1/10","140 min","Illang: The Wolf Brigade","Action & Adventure, International Movies, Sci-Fi & Fantasy","","October 19, 2018","Kim Jee-woon","Gang Dong-won, Han Hyo-joo, Jung Woo-sung, Kim Mu-yeol, Han Ye-ri, Choi Min-ho, Shin Eun-soo, Kim Beop-rae, Lee Dong-ha, Jung Won-joong, Choi Jin-ho","South Korea",NA
"2018","8.6/10","2 Seasons","Making a Murderer","Crime TV Shows, Docuseries","",NA,NA,NA,"United States","October 19, 2018"
"2018","8.6/10","3 Seasons","Marvel's Daredevil","Crime TV Shows, TV Action & Adventure","",NA,NA,"Charlie Cox, Deborah Ann Woll, Elden Henson, Rosario Dawson, Vincent D'Onofrio, Jon Bernthal, Elodie Yung, Scott Glenn, Stephen Rider, Vondie Curtis-Hall, Ayelet Zurer, Toby Leonard Moore, Bob Gunton","United States","October 19, 2018"
"2013","7.0/10","122 min","Naa Bangaaru Talli","Dramas, International Movies","","October 19, 2018","Rajesh Touchriver","Siddique, Anjali Patil, Lakshmi Menon, Nina Kurup, Rathna Shekar Reddy, Anoop Aravindan","India",NA
"2018",NA,"23 min","Oddbods: Party Monsters","Movies","","October 19, 2018",NA,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",NA,NA
"2017","8.6/10","4 Seasons","Project S The Series","International TV Shows, TV Dramas, Teen TV Shows","",NA,NA,"Wiwattanawarang Oabnithi, Mahayotaruk Thiti, Lerkcharoempoj Papangkorn, Imanothai Kawin, Sakuljaroensuk Apinya, Oat Pasakorn Sanrattana, Leeratanakajorn Thanapob, Skye Nateeton Wongrawee, Supapunpinyo Teeradon, Chansangavej Chayanit, Ketprapakorn Narikun, Pibunsonggram Kritsanapoom, Santinatornkul Chanon","Thailand","October 19, 2018"
"2016","5.1/10","95 min","S Storm","Action & Adventure, International Movies","","October 19, 2018","David Lam","Louis Koo, Julian Cheung, Vic Chou, Ada Choi, Bowie Lam, Dada Chan, Janelle Sing, Lo Hoi-pang","Hong Kong, China",NA
"2018","6.9/10","121 min","The Night Comes for Us","Action & Adventure, International Movies","","October 19, 2018","Timo Tjahjanto","Joe Taslim, Iko Uwais, Asha Kenyeri Bermudez, Sunny Pang, Salvita Decorte, Abimana Aryasatya, Zack Lee, Dimas Anggara, Julie Estelle, Dian Sastrowardoyo","Indonesia, United States",NA
"2018","7.2/10","1 Season","Wanderlust","British TV Shows, International TV Shows, Romantic TV Shows","","October 19, 2018",NA,"Toni Collette, Steven Mackintosh, Zawe Ashton, Joe Hurst, Emma D'Arcy, Celeste Dring, William Ash, Royce Pierreson, Jeremy Swift, Anastasia Hille, Isis Hainsworth, Sophie Okonedo","United Kingdom",NA
"2018","5.4/10","131 min","Mr. Chandramouli","Dramas, International Movies, Thrillers","","October 18, 2018","Thiru","Karthik, Gautam Karthik, Regina Cassandra, Varalakshmi Sarathkumar, Santhosh Prathap, Mime Gopi, J. Mahendran, Viji Chandrasekhar","India",NA
"2012","7.1/10","2 Seasons","My Babysitter's a Vampire","Kids' TV, TV Comedies","",NA,NA,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Ari Cohen","Canada","October 17, 2018"
